orderID,productID,orderDate,productName,categoryName,quantity,salesRevenue
10248,11,2013-07-04,"Queso Cabrales","Dairy Products",12,168
10248,42,2013-07-04,"Singaporean Hokkien Fried Mee","Grains & Cereals",10,98
10248,72,2013-07-04,"Mozzarella di Giovanni","Dairy Products",5,174
10249,14,2013-07-05,Tofu,Produce,9,167.4
10249,51,2013-07-05,"Manjimup Dried Apples",Produce,40,1696
10250,41,2013-07-08,"Jack's New England Clam Chowder",Seafood,10,77
10250,51,2013-07-08,"Manjimup Dried Apples",Produce,35,1261.4
10250,65,2013-07-08,"Louisiana Fiery Hot Pepper Sauce",Condiments,15,214.2
10251,22,2013-07-08,"Gustaf's Knackebrod","Grains & Cereals",6,95.76
10251,57,2013-07-08,"Ravioli Angelo","Grains & Cereals",15,222.3
10251,65,2013-07-08,"Louisiana Fiery Hot Pepper Sauce",Condiments,20,336
10252,20,2013-07-09,"Sir Rodney's Marmalade",Confections,40,2462.4
10252,33,2013-07-09,Geitost,"Dairy Products",25,47.5
10252,60,2013-07-09,"Camembert Pierrot","Dairy Products",40,1088
10253,31,2013-07-10,"Gorgonzola Telino","Dairy Products",20,200
10253,39,2013-07-10,"Chartreuse verte",Beverages,42,604.8
10253,49,2013-07-10,Maxilaku,Confections,40,640
10254,24,2013-07-11,"Guarana Fantastica",Beverages,15,45.9
10254,55,2013-07-11,"Pate chinois","Meat & Poultry",21,342.72
10254,74,2013-07-11,"Longlife Tofu",Produce,21,168
10255,2,2013-07-12,Chang,Beverages,20,304
10255,16,2013-07-12,Pavlova,Confections,35,486.5
10255,36,2013-07-12,"Inlagd Sill",Seafood,25,380
10255,59,2013-07-12,"Raclette Courdavault","Dairy Products",30,1320
10256,53,2013-07-15,"Perth Pasties","Meat & Poultry",15,393
10256,77,2013-07-15,"Original Frankfurter Grune Sose",Condiments,12,124.8
10257,27,2013-07-16,"Schoggi Schokolade",Confections,25,877.5
10257,39,2013-07-16,"Chartreuse verte",Beverages,6,86.4
10257,77,2013-07-16,"Original Frankfurter Grune Sose",Condiments,15,156
10258,2,2013-07-17,Chang,Beverages,50,608
10258,5,2013-07-17,"Chef Anton's Gumbo Mix",Condiments,65,884
10258,32,2013-07-17,"Mascarpone Fabioli","Dairy Products",6,122.88
10259,21,2013-07-18,"Sir Rodney's Scones",Confections,10,80
10259,37,2013-07-18,"Gravad lax",Seafood,1,20.8
10260,41,2013-07-19,"Jack's New England Clam Chowder",Seafood,16,92.4
10260,57,2013-07-19,"Ravioli Angelo","Grains & Cereals",50,780
10260,62,2013-07-19,"Tarte au sucre",Confections,15,443.25
10260,70,2013-07-19,"Outback Lager",Beverages,21,189
10261,21,2013-07-19,"Sir Rodney's Scones",Confections,20,160
10261,35,2013-07-19,"Steeleye Stout",Beverages,20,288
10262,5,2013-07-22,"Chef Anton's Gumbo Mix",Condiments,12,163.2
10262,7,2013-07-22,"Uncle Bob's Organic Dried Pears",Produce,15,360
10262,56,2013-07-22,"Gnocchi di nonna Alice","Grains & Cereals",2,60.8
10263,16,2013-07-23,Pavlova,Confections,60,625.5
10263,24,2013-07-23,"Guarana Fantastica",Beverages,28,100.8
10263,30,2013-07-23,"Nord-Ost Matjeshering",Seafood,60,931.5
10263,74,2013-07-23,"Longlife Tofu",Produce,36,216
10264,2,2013-07-24,Chang,Beverages,35,532
10264,41,2013-07-24,"Jack's New England Clam Chowder",Seafood,25,163.62
10265,17,2013-07-25,"Alice Mutton","Meat & Poultry",30,936
10265,70,2013-07-25,"Outback Lager",Beverages,20,240
10266,12,2013-07-26,"Queso Manchego La Pastora","Dairy Products",12,346.56
10267,40,2013-07-29,"Boston Crab Meat",Seafood,50,735
10267,59,2013-07-29,"Raclette Courdavault","Dairy Products",70,2618
10267,76,2013-07-29,Lakkalikori,Beverages,15,183.6
10268,29,2013-07-30,"Thuringer Rostbratwurst","Meat & Poultry",10,990
10268,72,2013-07-30,"Mozzarella di Giovanni","Dairy Products",4,111.2
10269,33,2013-07-31,Geitost,"Dairy Products",60,114
10269,72,2013-07-31,"Mozzarella di Giovanni","Dairy Products",20,528.2
10270,36,2013-08-01,"Inlagd Sill",Seafood,30,456
10270,43,2013-08-01,"Ipoh Coffee",Beverages,25,920
10271,33,2013-08-01,Geitost,"Dairy Products",24,48
10272,20,2013-08-02,"Sir Rodney's Marmalade",Confections,6,388.8
10272,31,2013-08-02,"Gorgonzola Telino","Dairy Products",40,400
10272,72,2013-08-02,"Mozzarella di Giovanni","Dairy Products",24,667.2
10273,10,2013-08-05,Ikura,Seafood,24,565.44
10273,31,2013-08-05,"Gorgonzola Telino","Dairy Products",15,142.5
10273,33,2013-08-05,Geitost,"Dairy Products",20,40
10273,40,2013-08-05,"Boston Crab Meat",Seafood,60,837.9
10273,76,2013-08-05,Lakkalikori,Beverages,33,451.44
10274,71,2013-08-06,Flotemysost,"Dairy Products",20,344
10274,72,2013-08-06,"Mozzarella di Giovanni","Dairy Products",7,194.6
10275,24,2013-08-07,"Guarana Fantastica",Beverages,12,41.04
10275,59,2013-08-07,"Raclette Courdavault","Dairy Products",6,250.8
10276,10,2013-08-08,Ikura,Seafood,15,372
10276,13,2013-08-08,Konbu,Seafood,10,48
10277,28,2013-08-09,"Rossle Sauerkraut",Produce,20,728
10277,62,2013-08-09,"Tarte au sucre",Confections,12,472.8
10278,44,2013-08-12,"Gula Malacca",Condiments,16,248
